Letter,Count All,Count Uppercase,Percentage Uppercase
a,52,9,17.307692307692307
b,6,0,0
c,19,0,0
d,21,1,4.761904761904762
e,75,13,17.333333333333336
f,12,1,8.333333333333332
g,1,0,0
h,1,0,0
i,33,0,0
j,13,13,100.0
k,7,0,0
l,35,0,0
m,28,8,28.57142857142857
n,47,18,38.297872340425535
o,27,0,0
p,30,6,20.0
r,27,9,33.33333333333333
s,41,0,0
t,24,0,0
u,15,0,0
v,5,0,0
w,14,0,0
x,13,0,0
y,7,0,0
