Letter,Count All,Count Uppercase,Percentage Uppercase
a,55,9,16.363636363636363
b,7,0,0
c,22,0,0
d,21,1,4.761904761904762
e,87,15,17.24137931034483
f,13,1,7.6923076923076925
g,1,0,0
h,1,0,0
i,37,0,0
j,15,15,100.0
k,8,0,0
l,38,0,0
m,32,9,28.125
n,53,21,39.62264150943396
o,31,0,0
p,34,6,17.647058823529413
r,31,11,35.483870967741936
s,46,0,0
t,24,0,0
u,16,0,0
v,5,0,0
w,16,0,0
x,15,0,0
y,7,0,0
